approval.cws.xfinity.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.81.132.0/22
approval.xfinity.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 23.4.224.0/20
arscrs-1s.gslb4.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
arscrs.traxion.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
arscrstool-1p.gslb4.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
asset.cac.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 13.225.64.0/21
assets-np.xfinity.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 96.6.22.0/23
assets.cac.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 13.226.26.0/23
assets.des.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 54.230.160.0/22
assets.dh-platform-icons.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 13.225.202.0/23
assets.xfinity.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 96.6.22.0/23
assigned-products-preprod-ue1.spil.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 54.144.0.0/14
assigned-products-preprod-uw2.spil.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 44.224.0.0/11
assigned-products-prod-ue1.spil.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 54.160.0.0/14
at20.mdu.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 50.128.0.0/9
auth-asha.xchat.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.96.0.0/12
auth-dev.cxco-chat.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 44.224.0.0/11
auth-preprod.cxco-chat.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 44.224.0.0/11
auth-prod.g.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 68.80.0.0/13
auth-qa.g.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
auth-staging.g.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
auth-test.cxco-chat.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 44.224.0.0/11
auth.load.xfinity.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 23.3.112.0/20
auth.qa.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 69.240.0.0/12
auth.staging.xfinity.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 23.3.112.0/20
auth.xc3.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 13.225.64.0/21
auth.xchat.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.96.0.0/12
auth.xfinity.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 23.3.112.0/20
autoconfig.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
autodiscover.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
autodiscovery.ge.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
autodiscovery.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
automation.dss-ops.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 54.230.160.0/22
axp-int.xoe.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 54.234.0.0/15
axp-preprod.xoe.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 34.224.0.0/12
beacon.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
bestseat.xfinity.com AS33070 AS33070 - RACKSPACE HOSTING US 199.168.172.0/22
beta.webmail.g.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
betatxt.connect.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
bill-pay-dev.maw-pci.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 54.230.160.0/22
bill-pay-pre-prod.maw-pci.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 13.225.202.0/23
bill-pay-production.maw-pci.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 13.225.64.0/21
bill-pay-qa.maw-pci.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 13.225.202.0/23
bill-pay-staging.maw-pci.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 13.226.26.0/23
billing-stg-cvr-cf.gslb2.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 68.80.0.0/13
billingaccount.platco.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.96.0.0/12
bpm-auth.cac.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 13.226.26.0/23
br.contour.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 69.240.0.0/12
br.tv.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 69.240.0.0/12
brand.cws.xfinity.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 23.5.224.0/20
brand.xfinity.com AS19994 AS19994 - RACKSPACE HOSTING US 23.253.192.0/19
business-help.wcdc.int.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 68.80.0.0/13
